,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,21.0,3.0,164.0,3.0,299.0,22.0,1.0,11.0,20.0,13.0,7.0,11.0,23.0,7.0,33.0,0.0,14.0,94.0,11.0,3.0,4.0,32.0,21.0,29.0
layer_1,8.0,9.0,1.0,0.0,140.0,0.0,84.0,12.0,172.0,46.0,4.0,0.0,0.0,18.0,0.0,77.0,65.0,55.0,73.0,27.0,0.0,0.0,3.0,0.0
layer_2,16.0,12.0,0.0,0.0,15.0,0.0,44.0,0.0,0.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,26.0,4.0,0.0,25.0,6.0,0.0,52.0
layer_3,12.0,1.0,0.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,39.0,10.0,0.0,0.0,0.0,2.0,0.0,18.0
layer_4,0.0,3.0,4.0,0.0,61.0,23.0,3.0,5.0,0.0,6.0,0.0,50.0,0.0,2.0,7.0,0.0,0.0,0.0,39.0,2.0,137.0,10.0,24.0,0.0
layer_5,6.0,0.0,0.0,1.0,10.0,83.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,22.0,6.0,0.0,5.0,0.0,26.0
layer_6,20.0,6.0,15.0,34.0,0.0,0.0,0.0,14.0,122.0,0.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,26.0,5.0,5.0,1.0,0.0
layer_7,383.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,0.0,20.0,5.0,0.0,0.0,4.0,11.0,14.0,5.0
layer_8,4.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,15.0,6.0,65.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,24.0,1.0
layer_9,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,8.0,1.0,7.0,9.0,2.0,45.0
layer_10,0.0,3.0,37.0,12.0,2.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,4.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0
layer_11,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0
layer_12,11.0,9.0,1.0,3.0,0.0,4.0,4.0,7.0,6.0,6.0,1.0,5.0,1.0,9.0,11.0,10.0,11.0,11.0,13.0,4.0,9.0,1.0,8.0,11.0
layer_13,46.0,9.0,13.0,17.0,147.0,14.0,28.0,11.0,97.0,9.0,6.0,28.0,15.0,20.0,25.0,19.0,77.0,58.0,30.0,16.0,4.0,5.0,39.0,9.0
layer_14,13.0,5.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,23.0,3.0,0.0,5.0,4.0,0.0,2.0
layer_15,6.0,0.0,0.0,63.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,13.0,3.0,1.0,0.0,1.0,8.0,0.0,8.0
layer_16,0.0,1.0,0.0,0.0,31.0,17.0,3.0,1.0,0.0,5.0,0.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,1.0,158.0,4.0,11.0,0.0
layer_17,2.0,0.0,0.0,4.0,0.0,36.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,16.0,7.0,0.0,10.0,4.0,19.0
layer_18,11.0,12.0,9.0,13.0,0.0,0.0,0.0,10.0,158.0,0.0,9.0,3.0,2.0,0.0,35.0,0.0,1.0,1.0,0.0,7.0,9.0,26.0,0.0,0.0
layer_19,289.0,0.0,1.0,6.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,9.0,15.0,8.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,26.0,5.0
layer_20,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,7.0,2.0,36.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0
layer_21,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,0.0,27.0
layer_22,0.0,1.0,4.0,47.0,17.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,5.0,1.0,0.0,5.0,22.0,14.0,4.0,0.0,0.0,3.0,10.0,36.0
layer_23,29.0,164.0,228.0,0.0,100.0,85.0,51.0,42.0,49.0,28.0,8.0,1.0,0.0,40.0,46.0,178.0,66.0,101.0,4.0,47.0,1.0,41.0,4.0,104.0
