,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,156.0,37.0,177.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,9.0,6.0,0.0,195.0,0.0,9.0,2.0,0.0,36.0,0.0,0.0,0.0
layer_1,3.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
layer_2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,261.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,59.0,3.0,13.0,34.0,0.0,0.0,7.0,4.0
layer_3,0.0,2.0,91.0,49.0,0.0,10.0,1.0,10.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,55.0,26.0,28.0,7.0,0.0,0.0,0.0,1.0,0.0,67.0,1.0,3.0,0.0,285.0,18.0,91.0,51.0
layer_4,0.0,1.0,6.0,0.0,149.0,0.0,0.0,145.0,0.0,6.0,0.0,0.0,34.0,13.0,112.0,6.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,30.0,192.0,85.0,0.0,36.0,1.0,0.0,0.0,129.0
layer_5,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,38.0,86.0,158.0,41.0,11.0,4.0,0.0,26.0,0.0,0.0,3.0,6.0,16.0,0.0,8.0,0.0,70.0,37.0,104.0
layer_6,148.0,5.0,24.0,61.0,4.0,1.0,42.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,136.0,0.0,29.0,1.0,66.0,14.0,2.0,111.0,0.0,105.0,28.0,0.0,0.0,0.0,56.0,2.0,73.0
layer_7,7.0,22.0,1.0,0.0,184.0,5.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,39.0,10.0,0.0,5.0,0.0,61.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,91.0
layer_8,0.0,1.0,18.0,2.0,18.0,7.0,2.0,32.0,29.0,118.0,0.0,28.0,26.0,97.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,58.0,5.0,96.0,150.0,1.0,0.0,168.0,0.0,2.0
layer_9,18.0,0.0,3.0,12.0,68.0,70.0,8.0,7.0,3.0,1.0,0.0,51.0,0.0,44.0,158.0,62.0,13.0,0.0,23.0,10.0,20.0,1.0,0.0,39.0,0.0,2.0,83.0,0.0,34.0,37.0,14.0,21.0
layer_10,0.0,0.0,0.0,6.0,0.0,28.0,0.0,7.0,34.0,12.0,7.0,0.0,10.0,0.0,0.0,7.0,12.0,0.0,101.0,0.0,0.0,20.0,1.0,0.0,0.0,13.0,0.0,0.0,3.0,22.0,4.0,7.0
layer_11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,31.0,0.0,9.0,0.0,0.0,1.0,0.0,5.0,13.0,2.0,9.0,1.0,0.0,0.0,6.0,2.0,7.0,3.0,2.0,11.0,0.0,6.0,18.0
layer_12,0.0,0.0,3.0,42.0,2.0,0.0,0.0,143.0,36.0,20.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,29.0,0.0,16.0,0.0,0.0,6.0,7.0,0.0,0.0,2.0,0.0
layer_13,0.0,0.0,0.0,0.0,256.0,5.0,0.0,0.0,2.0,37.0,2.0,25.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,22.0,3.0
layer_14,0.0,1.0,0.0,0.0,1.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,35.0,32.0,0.0,0.0,0.0,2.0,20.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0
layer_15,27.0,15.0,0.0,7.0,0.0,0.0,15.0,0.0,31.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
