,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,52.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,255.0,19.0,0.0,48.0,0.0,375.0,0.0,1.0,0.0,0.0,0.0,0.0
layer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
layer_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
layer_3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,3.0,0.0
layer_4,0.0,4.0,0.0,0.0,11.0,0.0,2.0,4.0,9.0,1.0,0.0,0.0,8.0,4.0,1.0,7.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,10.0,55.0,24.0,0.0,21.0,0.0,1.0,0.0,1.0
layer_5,0.0,0.0,9.0,4.0,18.0,0.0,7.0,0.0,12.0,0.0,8.0,0.0,9.0,5.0,6.0,5.0,19.0,24.0,17.0,0.0,123.0,3.0,87.0,20.0,0.0,25.0,0.0,0.0,6.0,6.0,9.0,49.0
layer_6,112.0,94.0,4.0,272.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,4.0,1.0,0.0,4.0,7.0,9.0,30.0,3.0,29.0,5.0,12.0,108.0,0.0,23.0,28.0,0.0,0.0,11.0,10.0,6.0,49.0
layer_7,16.0,3.0,70.0,0.0,99.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,14.0,88.0,61.0,1.0,0.0,1.0,4.0,0.0,22.0,1.0,3.0,6.0,2.0,0.0,0.0,0.0,56.0
layer_8,0.0,2.0,0.0,1.0,6.0,1.0,0.0,1.0,5.0,82.0,2.0,160.0,30.0,24.0,2.0,7.0,1.0,5.0,1.0,11.0,1.0,1.0,10.0,3.0,1.0,322.0,68.0,0.0,0.0,231.0,0.0,3.0
layer_9,4.0,0.0,1.0,0.0,28.0,36.0,1.0,8.0,0.0,0.0,0.0,27.0,0.0,241.0,31.0,38.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,160.0,0.0,0.0,62.0,0.0,21.0,10.0,2.0,11.0
layer_10,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,9.0,0.0,0.0,2.0,3.0,0.0,6.0,4.0,0.0,5.0,0.0,0.0,36.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
layer_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
layer_12,10.0,0.0,1.0,3.0,0.0,2.0,0.0,227.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
layer_13,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
layer_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0
layer_15,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
