,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0125,0.045,0.035,0.09,0.01,0.0675,0.035,0.02,0.0675,0.02,0.065,0.05,0.08,0.01,0.0575,0.0425
1,0.0125,0.0025,0.005,0.0275,0.045,0.0125,0.0075,0.0075,0.02,0.0,0.015,0.015,0.0425,0.1725,0.005,0.0025
2,0.0175,0.015,0.02,0.1175,0.125,0.0125,0.0375,0.015,0.02,0.025,0.065,0.0125,0.0075,0.0875,0.0175,0.1525
3,0.005,0.015,0.005,0.005,0.005,0.0125,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
4,0.005,0.005,0.005,0.005,0.005,0.0025,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
5,0.02,0.005,0.02,0.005,0.005,0.0075,0.0075,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0325
6,0.0075,0.0175,0.005,0.005,0.005,0.0075,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
7,0.005,0.0175,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0125,0.005,0.005,0.005,0.005,0.005,0.005
9,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.005,0.005,0.0075,0.005,0.005
10,0.005,0.005,0.005,0.005,0.0175,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.0075,0.005,0.005,0.005
11,0.005,0.005,0.005,0.005,0.035,0.005,0.005,0.005,0.005,0.005,0.005,0.0225,0.005,0.005,0.0175,0.005
12,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0125,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.005
13,0.0075,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.005,0.005
14,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005
15,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.005,0.005,0.005,0.005
16,0.005,0.005,0.005,0.005,0.005,0.0075,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
17,0.005,0.005,0.0025,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.005,0.005,0.005,0.005
18,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0175,0.005,0.0225,0.005,0.005,0.005,0.005
19,0.005,0.005,0.005,0.005,0.0175,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
20,0.005,0.005,0.005,0.0125,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.005
21,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
22,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
23,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
24,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0175,0.005,0.005,0.005,0.005,0.005,0.0075,0.005,0.005
25,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.005,0.0075,0.005,0.005,0.005,0.005,0.005,0.005,0.005
26,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.0075,0.005,0.005,0.005,0.005,0.005
27,0.0075,0.005,0.005,0.0125,0.005,0.0075,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
