,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,8.0,9.0,5.0,9.0,25.0,15.0,28.0,11.0,5.0,11.0,7.0,30.0,11.0,20.0,17.0,19.0
layer_1,8.0,9.0,2.0,1.0,1.0,0.0,0.0,15.0,3.0,2.0,5.0,2.0,8.0,18.0,2.0,7.0
layer_2,8.0,12.0,5.0,1.0,1.0,0.0,10.0,6.0,8.0,4.0,9.0,6.0,4.0,0.0,6.0,3.0
layer_3,8.0,12.0,7.0,2.0,14.0,16.0,2.0,8.0,3.0,3.0,2.0,15.0,6.0,6.0,1.0,1.0
layer_4,8.0,17.0,27.0,6.0,8.0,1.0,40.0,3.0,7.0,10.0,6.0,2.0,4.0,6.0,18.0,12.0
layer_5,7.0,6.0,18.0,6.0,5.0,4.0,30.0,3.0,15.0,4.0,5.0,4.0,4.0,4.0,4.0,8.0
layer_6,14.0,13.0,8.0,4.0,4.0,5.0,14.0,2.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_7,8.0,7.0,24.0,26.0,18.0,8.0,4.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_8,8.0,21.0,6.0,6.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_9,9.0,13.0,5.0,6.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_10,8.0,8.0,4.0,4.0,5.0,14.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_11,8.0,14.0,6.0,23.0,4.0,3.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_12,7.0,7.0,4.0,6.0,5.0,33.0,5.0,13.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_13,4.0,17.0,3.0,6.0,4.0,4.0,4.0,5.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_14,8.0,2.0,5.0,36.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_15,8.0,7.0,4.0,5.0,7.0,4.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_16,8.0,6.0,4.0,4.0,3.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_17,7.0,12.0,17.0,3.0,4.0,4.0,4.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_18,4.0,5.0,3.0,17.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
layer_19,8.0,5.0,11.0,4.0,4.0,13.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
layer_20,11.0,11.0,25.0,6.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
layer_21,12.0,8.0,8.0,4.0,4.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,18.0,2.0
layer_22,14.0,11.0,34.0,5.0,6.0,7.0,4.0,26.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,7.0
layer_23,12.0,15.0,7.0,23.0,9.0,24.0,18.0,12.0,8.0,30.0,8.0,11.0,15.0,17.0,5.0,10.0
