,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,46.0,48.0,38.0,32.0,28.0,26.0,22.0,20.0,15.0,11.0,13.0,11.0,6.0,6.0,7.0,8.0
layer_1,42.0,50.0,28.0,11.0,29.0,18.0,12.0,19.0,10.0,10.0,3.0,7.0,1.0,7.0,6.0,3.0
layer_2,43.0,47.0,51.0,41.0,32.0,7.0,7.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0
layer_3,20.0,40.0,40.0,42.0,30.0,1.0,38.0,8.0,29.0,3.0,8.0,6.0,5.0,4.0,5.0,1.0
layer_4,46.0,33.0,48.0,35.0,7.0,65.0,34.0,2.0,1.0,4.0,17.0,4.0,7.0,2.0,1.0,25.0
layer_5,51.0,38.0,39.0,47.0,34.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_6,24.0,36.0,25.0,20.0,32.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_7,49.0,25.0,26.0,2.0,14.0,52.0,12.0,13.0,10.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0
layer_8,65.0,37.0,28.0,33.0,11.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_9,53.0,16.0,9.0,63.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_10,39.0,27.0,7.0,16.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
layer_11,44.0,9.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_12,7.0,28.0,26.0,15.0,16.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_13,32.0,26.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_14,5.0,15.0,4.0,3.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
layer_15,21.0,39.0,2.0,13.0,2.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
layer_16,51.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_17,46.0,9.0,6.0,5.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_18,28.0,14.0,16.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
layer_19,22.0,14.0,16.0,3.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
layer_20,50.0,30.0,4.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_21,54.0,39.0,6.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0
layer_22,56.0,20.0,18.0,1.0,21.0,6.0,8.0,8.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0
layer_23,48.0,35.0,8.0,23.0,13.0,15.0,11.0,9.0,7.0,12.0,2.0,1.0,2.0,1.0,5.0,4.0
