,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,264.0,64.0,202.0,143.0,299.0,58.0,132.0,1.0,163.0,4.0,80.0,85.0
layer_1,223.0,3.0,18.0,2.0,0.0,6.0,11.0,1.0,1.0,3.0,77.0,1.0
layer_2,0.0,0.0,6.0,0.0,0.0,0.0,3.0,23.0,0.0,6.0,9.0,0.0
layer_3,54.0,8.0,147.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
layer_4,1.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0
layer_5,0.0,0.0,10.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,35.0,70.0
layer_6,5.0,287.0,0.0,0.0,0.0,0.0,1.0,2.0,26.0,0.0,2.0,0.0
layer_7,6.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,11.0,405.0,3.0,83.0
layer_8,7.0,150.0,58.0,9.0,54.0,2.0,0.0,0.0,45.0,294.0,0.0,0.0
layer_9,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0,35.0,2.0,0.0
layer_10,55.0,0.0,18.0,121.0,0.0,25.0,17.0,37.0,0.0,3.0,0.0,5.0
layer_11,334.0,186.0,0.0,47.0,89.0,298.0,0.0,69.0,105.0,128.0,186.0,277.0
