,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,50,0,77,1,1,0,7,42,51,27,76,5
layer_1,37,31,2,15,0,21,1,16,0,83,0,0
layer_2,2,0,43,36,0,0,19,0,2,0,1,0
layer_3,3,0,2,0,1,0,0,0,0,6,5,26
layer_4,23,38,3,0,2,0,7,0,105,1,0,0
layer_5,52,2,1,14,39,0,1,125,1,0,0,0
layer_6,0,24,8,67,0,0,1,23,99,1,4,61
layer_7,5,10,2,2,0,20,10,5,7,0,2,40
layer_8,32,5,3,5,20,62,131,91,51,0,0,14
layer_9,4,0,78,27,1,0,0,1,52,34,0,4
layer_10,1,2,14,5,5,42,0,23,1,60,37,7
layer_11,54,32,0,4,24,43,0,12,21,60,25,101
