,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,174,57,297,12,0,0,1,3,0,0,6,7,1,0,0,0,154,1,0,0,9,6,0,195,0,9,2,0,36,0,0,0
layer_1,3,6,0,18,0,0,0,0,31,0,0,72,0,1,0,0,10,0,0,1,12,0,0,0,0,0,1,1,0,0,0,0
layer_2,1,0,1,0,0,0,0,0,0,0,4,0,261,0,0,0,1,0,0,0,1,0,2,0,59,3,13,34,0,0,7,4
layer_3,0,2,91,49,0,10,1,10,4,0,1,5,0,0,0,55,26,28,7,0,0,0,1,0,67,1,3,0,285,18,91,51
layer_4,0,1,6,0,149,0,0,145,0,6,0,0,34,13,112,6,0,12,19,0,0,0,0,30,192,85,0,36,1,0,0,129
layer_5,0,0,24,4,0,0,0,0,4,0,0,0,50,41,86,158,41,13,4,0,26,0,0,3,6,16,0,8,0,70,37,104
layer_6,151,5,26,61,4,1,42,5,0,0,0,0,2,0,12,136,0,30,1,66,14,2,111,0,109,29,0,0,0,56,2,73
layer_7,7,23,1,0,184,5,1,0,18,0,0,0,0,0,6,1,39,10,0,5,0,65,0,0,0,2,1,0,0,0,0,91
layer_8,0,3,21,2,18,7,2,33,30,118,0,28,29,102,8,7,0,1,0,0,0,0,60,59,5,96,155,1,0,210,0,2
layer_9,18,0,3,12,71,75,11,7,3,1,0,51,0,66,182,65,13,0,23,10,22,1,0,40,0,2,84,0,34,37,14,22
layer_10,0,0,0,6,0,28,0,7,37,17,9,0,10,0,0,7,12,0,101,0,0,20,1,0,0,13,0,0,3,22,5,8
layer_11,0,0,0,1,0,0,0,1,5,31,0,9,0,0,1,0,5,14,2,10,1,0,0,6,2,8,3,2,11,0,6,18
layer_12,0,0,3,47,2,0,0,144,40,20,1,8,0,0,0,0,0,8,0,16,0,29,4,17,0,0,9,7,0,0,2,0
layer_13,0,0,0,0,262,5,0,0,2,37,2,25,0,0,6,15,0,0,0,0,0,0,0,0,3,0,1,0,3,0,25,3
layer_14,0,1,0,0,1,66,21,0,0,0,0,0,0,1,0,0,0,18,38,78,0,0,0,2,26,8,9,16,0,0,0,0
layer_15,31,16,0,8,0,0,17,0,31,0,2,1,2,1,65,0,0,0,0,0,0,0,0,0,62,0,26,0,0,0,0,0
