,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,114,9,193,1,1,0,0,4,1,0,6,9,2,0,0,0,104,4,0,0,21,12,0,185,3,8,3,0,29,0,0,0
layer_1,0,0,0,19,0,0,6,0,56,0,0,104,0,0,0,0,22,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0
layer_2,0,0,1,0,0,0,0,1,0,0,1,8,274,0,1,0,6,0,0,0,0,0,2,4,40,2,13,37,0,0,2,6
layer_3,0,1,122,96,1,6,0,17,0,0,2,8,0,0,0,74,34,5,3,0,0,0,0,0,35,0,6,0,357,20,122,33
layer_4,0,2,5,0,127,0,0,130,0,3,0,0,48,35,87,6,0,6,19,0,0,0,0,42,103,83,0,14,0,0,0,83
layer_5,0,0,17,4,1,0,0,0,1,0,0,0,15,18,66,64,27,24,1,1,4,0,0,0,1,13,0,8,0,32,28,116
layer_6,93,3,17,10,4,0,59,5,0,0,0,0,0,0,12,90,0,28,2,87,16,1,140,2,120,29,0,0,0,33,1,81
layer_7,4,31,3,0,157,1,1,1,57,0,0,1,0,1,9,0,16,4,0,0,0,107,0,1,1,9,3,1,0,0,0,44
layer_8,2,10,25,4,16,8,5,28,43,90,1,9,29,104,6,5,0,0,0,0,0,1,37,43,4,62,160,0,0,95,1,3
layer_9,37,0,4,16,55,49,5,8,1,0,0,22,2,22,178,85,7,0,19,13,16,3,0,17,0,2,107,0,68,22,6,11
layer_10,0,0,0,1,1,23,0,2,19,13,8,4,12,2,0,2,11,0,60,0,0,9,0,1,4,16,1,2,7,17,4,9
layer_11,0,0,0,4,3,1,0,0,5,4,1,23,0,0,3,0,1,28,0,22,1,2,1,6,2,1,0,1,4,0,1,2
layer_12,0,0,3,28,0,0,0,29,23,2,4,0,0,2,0,1,0,6,0,6,0,18,0,3,0,0,0,7,1,0,0,0
layer_13,0,0,0,0,45,1,0,0,0,23,1,6,0,0,0,5,0,0,0,0,0,1,0,1,1,0,0,0,6,0,9,2
layer_14,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,7,5,22,0,0,0,1,7,1,2,7,0,0,0,1
layer_15,6,2,1,1,0,0,9,0,9,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,16,2,5,0,0,0,0,0
