,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,12.0,1.0,11.0,0.0,1.0,0.0,1.0,9.0,10.0,5.0,13.0,0.0
layer_1,14.0,5.0,0.0,0.0,0.0,4.0,8.0,3.0,0.0,12.0,0.0,0.0
layer_2,21.0,0.0,14.0,1.0,1.0,0.0,6.0,0.0,0.0,20.0,0.0,0.0
layer_3,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_4,7.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,0.0
layer_5,26.0,0.0,0.0,0.0,0.0,1.0,16.0,58.0,13.0,0.0,0.0,0.0
layer_6,1.0,1.0,22.0,50.0,0.0,0.0,2.0,0.0,13.0,0.0,29.0,1.0
layer_7,0.0,2.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
layer_8,1.0,0.0,22.0,4.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0
layer_9,0.0,12.0,6.0,63.0,0.0,1.0,5.0,0.0,1.0,6.0,0.0,0.0
layer_10,18.0,0.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,26.0,0.0,0.0
layer_11,54.0,11.0,1.0,8.0,11.0,1.0,0.0,0.0,0.0,2.0,33.0,27.0
