,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,158,6,284,4,0,0,2,4,0,1,4,1,3,0,0,1,189,1,0,0,1,14,0,150,1,3,3,0,30,0,0,0
layer_1,0,0,0,4,1,0,1,0,0,0,0,97,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
layer_2,0,0,1,0,0,0,0,0,0,0,0,0,137,0,0,0,2,0,0,0,0,0,4,1,2,0,0,3,0,0,1,0
layer_3,0,0,164,2,0,1,0,1,1,0,0,2,0,0,0,35,19,1,2,0,0,0,0,0,20,0,4,0,194,11,40,11
layer_4,0,1,1,0,106,0,0,58,0,5,0,0,6,16,39,1,0,3,3,0,0,0,0,22,142,47,0,6,0,0,0,53
layer_5,0,0,30,6,0,0,0,0,0,0,0,0,4,6,29,10,45,7,2,0,4,0,0,0,0,28,0,16,0,86,63,97
layer_6,45,1,18,11,7,1,14,4,0,0,0,0,0,0,3,67,0,28,2,51,0,0,58,2,172,26,0,0,1,15,1,37
layer_7,15,37,1,0,70,0,0,0,103,0,0,0,0,0,0,0,34,3,0,0,0,107,0,0,0,3,1,0,0,0,0,42
layer_8,0,6,25,3,7,2,1,6,19,169,0,2,32,53,7,5,0,0,0,0,0,0,60,38,0,89,74,0,0,167,0,2
layer_9,20,0,12,19,22,115,6,7,1,0,0,5,0,34,190,48,1,0,4,1,9,1,0,39,0,2,23,0,40,9,1,5
layer_10,0,1,0,3,0,11,0,0,9,5,9,0,11,0,0,1,1,0,63,0,1,3,0,0,0,1,0,0,1,1,3,2
layer_11,0,0,0,3,2,0,0,0,1,3,0,8,0,0,2,0,0,5,0,3,2,0,1,3,1,1,0,6,1,0,0,2
layer_12,0,0,0,10,0,0,1,86,63,0,0,5,0,0,0,0,0,6,0,3,0,2,0,2,2,0,2,4,1,0,5,1
layer_13,0,0,0,0,157,2,0,0,2,11,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,9
layer_14,0,0,0,0,1,4,7,0,0,0,0,0,0,0,0,0,0,13,25,4,0,0,0,1,5,8,7,7,0,0,0,0
layer_15,16,4,0,2,0,0,9,1,24,0,0,7,1,0,216,0,0,0,0,0,0,0,0,0,57,0,4,0,0,0,0,0
