,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,16.0,3.0,138.0,1.0,215.0,17.0,1.0,9.0,19.0,11.0,5.0,1.0,19.0,5.0,30.0,0.0,13.0,85.0,11.0,3.0,4.0,31.0,15.0,27.0
layer_1,1.0,7.0,1.0,0.0,109.0,0.0,69.0,1.0,121.0,24.0,3.0,0.0,0.0,15.0,0.0,58.0,61.0,54.0,52.0,17.0,0.0,0.0,3.0,0.0
layer_2,15.0,5.0,0.0,0.0,13.0,0.0,39.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,1.0,0.0,1.0,6.0,0.0,42.0
layer_3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,32.0,6.0,0.0,0.0,0.0,2.0,0.0,9.0
layer_4,0.0,0.0,0.0,0.0,56.0,22.0,3.0,3.0,0.0,6.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,2.0,112.0,10.0,7.0,0.0
layer_5,4.0,0.0,0.0,1.0,5.0,80.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,20.0,4.0,0.0,1.0,0.0,15.0
layer_6,18.0,5.0,7.0,31.0,0.0,0.0,0.0,10.0,114.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,22.0,5.0,5.0,0.0,0.0
layer_7,275.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,0.0,16.0,5.0,0.0,0.0,4.0,10.0,14.0,3.0
layer_8,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,15.0,6.0,39.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,1.0
layer_9,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,7.0,1.0,7.0,8.0,2.0,41.0
layer_10,0.0,3.0,37.0,1.0,1.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0
layer_11,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
layer_12,11.0,9.0,1.0,3.0,0.0,4.0,4.0,7.0,6.0,6.0,0.0,5.0,1.0,9.0,11.0,10.0,11.0,11.0,13.0,4.0,9.0,1.0,8.0,11.0
layer_13,15.0,6.0,11.0,17.0,127.0,13.0,22.0,6.0,86.0,4.0,6.0,27.0,15.0,17.0,25.0,17.0,76.0,53.0,22.0,9.0,4.0,5.0,37.0,8.0
layer_14,11.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0
layer_15,5.0,0.0,0.0,53.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,11.0,2.0,1.0,0.0,1.0,8.0,0.0,8.0
layer_16,0.0,1.0,0.0,0.0,30.0,17.0,3.0,0.0,0.0,5.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,134.0,4.0,10.0,0.0
layer_17,1.0,0.0,0.0,2.0,0.0,34.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,15.0,7.0,0.0,7.0,4.0,17.0
layer_18,11.0,11.0,8.0,13.0,0.0,0.0,0.0,9.0,144.0,0.0,8.0,3.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,6.0,9.0,25.0,0.0,0.0
layer_19,223.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,9.0,13.0,8.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,26.0,4.0
layer_20,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,6.0,2.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0
layer_21,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,8.0,0.0,23.0
layer_22,0.0,1.0,3.0,43.0,15.0,0.0,0.0,2.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,5.0,22.0,14.0,3.0,0.0,0.0,0.0,9.0,27.0
layer_23,28.0,120.0,144.0,0.0,76.0,70.0,46.0,8.0,38.0,28.0,0.0,1.0,0.0,1.0,13.0,118.0,59.0,29.0,0.0,18.0,0.0,34.0,4.0,24.0
