,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,65,260,423,0,1135,33,119,4,99,242,1550,452,97,250,832,1203,12,71,32,233,1,214,180,62
layer_1,60,362,0,0,15,1,0,0,0,10,0,2060,2438,714,185,0,117,0,1,6,224,13,9,1591
layer_2,1087,2,11,26,0,0,17,0,0,31,5,0,0,1069,0,0,40,6,0,711,0,24,0,3
layer_3,2,0,0,53,1,61,10,2139,933,48,17,4,0,123,0,216,59,0,0,35,0,1,0,0
layer_4,0,2,0,489,5,1684,0,0,0,508,0,22,0,0,0,0,274,0,1,664,1998,4,0,16
layer_5,0,535,119,6,160,10,1,41,25,0,8,44,13,1,0,0,638,0,0,0,0,0,1332,16
layer_6,1974,0,0,47,0,0,4,0,1,8,20,0,5,493,0,32,20,0,543,76,91,1,355,1
layer_7,47,7,33,3,0,109,20,214,0,60,8,508,0,0,0,230,25,15,0,0,0,6,0,352
layer_8,0,37,0,0,459,30,131,279,4,14,0,4,3,120,0,0,0,0,294,0,36,0,82,20
layer_9,0,0,47,0,0,0,0,89,0,3,0,0,61,24,42,0,316,200,122,0,905,1,50,22
layer_10,12,328,71,0,0,1,3,31,386,131,4,12,0,126,0,91,14,2,63,13,229,4,170,46
layer_11,10,8,0,71,2,33,56,0,16,3,0,0,9,0,8,1,20,0,0,0,0,0,1,22
layer_12,8,6,0,1,31,2,4,13,9,8,11,17,11,16,14,12,5,5,4,12,8,0,5,20
layer_13,243,328,44,49,148,33,54,11,15,19,13,1422,1519,108,84,22,37,6,18,5,58,9,38,584
layer_14,346,0,9,0,0,0,62,0,0,57,3,0,0,193,0,7,71,32,0,38,1,4,0,0
layer_15,6,0,0,167,14,23,64,598,208,11,22,14,1,6,3,44,54,0,10,31,5,14,0,0
layer_16,0,0,2,149,12,548,0,0,0,76,0,7,2,0,3,3,30,0,41,196,1055,5,0,1
layer_17,0,155,78,4,45,30,0,14,3,0,23,56,15,2,2,0,267,0,0,11,0,0,378,32
layer_18,1153,4,0,38,0,0,12,0,1,11,1,12,1,101,13,9,1,0,269,35,44,0,215,1
layer_19,3,0,4,1,0,20,0,54,0,1,7,571,1,0,0,91,4,1,14,0,0,3,0,141
layer_20,0,4,0,7,181,4,12,33,1,0,1,0,10,10,0,0,0,0,46,2,20,0,17,1
layer_21,0,0,13,0,0,0,0,124,5,0,0,0,73,1,8,0,12,124,24,1,312,5,11,4
layer_22,15,237,52,0,1,0,4,18,477,32,42,25,0,82,4,12,1,12,29,4,120,0,73,2
layer_23,1752,8,0,991,86,15,5,3,34,191,2,0,698,6,8,0,4,19,0,24,0,1,17,8
