,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,20.0,1.0,20.0,4.0,25.0,11.0,18.0,0.0,6.0,18.0,27.0,15.0,15.0,8.0,8.0,29.0,19.0,14.0,11.0,3.0,13.0,18.0,21.0,1.0,20.0,24.0,30.0,4.0,1.0,13.0,9.0,1.0,19.0,17.0,10.0,18.0,12.0,31.0,8.0,11.0,7.0,4.0,13.0,26.0,4.0,20.0,5.0,9.0,23.0,8.0,9.0,17.0,27.0,9.0,30.0,3.0,13.0,4.0,11.0,8.0,12.0,5.0,14.0,25.0,4.0,6.0,17.0,8.0,43.0,1.0,8.0
layer_1,3.0,16.0,20.0,8.0,2.0,3.0,6.0,31.0,4.0,5.0,3.0,16.0,6.0,3.0,6.0,6.0,7.0,6.0,13.0,4.0,7.0,1.0,0.0,6.0,3.0,2.0,5.0,1.0,8.0,0.0,3.0,1.0,7.0,5.0,1.0,17.0,2.0,4.0,11.0,9.0,16.0,2.0,3.0,2.0,3.0,11.0,11.0,2.0,21.0,5.0,6.0,9.0,5.0,4.0,15.0,7.0,1.0,12.0,7.0,0.0,16.0,0.0,13.0,8.0,5.0,3.0,7.0,14.0,0.0,10.0,3.0
layer_2,3.0,9.0,13.0,8.0,5.0,26.0,12.0,9.0,16.0,9.0,18.0,7.0,11.0,2.0,4.0,4.0,1.0,15.0,11.0,10.0,8.0,11.0,8.0,6.0,8.0,9.0,4.0,12.0,3.0,11.0,11.0,19.0,2.0,10.0,5.0,6.0,3.0,6.0,6.0,8.0,1.0,9.0,40.0,15.0,21.0,3.0,7.0,11.0,2.0,5.0,5.0,5.0,22.0,5.0,6.0,23.0,4.0,26.0,6.0,11.0,13.0,2.0,5.0,10.0,7.0,4.0,10.0,15.0,9.0,6.0,4.0
layer_3,7.0,8.0,7.0,11.0,5.0,20.0,4.0,7.0,6.0,14.0,15.0,5.0,7.0,14.0,13.0,7.0,5.0,6.0,17.0,6.0,7.0,7.0,5.0,4.0,9.0,50.0,17.0,16.0,5.0,13.0,16.0,7.0,18.0,5.0,5.0,6.0,15.0,7.0,3.0,4.0,6.0,25.0,4.0,6.0,8.0,8.0,6.0,10.0,13.0,7.0,13.0,6.0,12.0,12.0,13.0,4.0,4.0,7.0,13.0,11.0,14.0,8.0,18.0,50.0,9.0,9.0,6.0,7.0,4.0,7.0,16.0
layer_4,11.0,16.0,10.0,12.0,12.0,11.0,5.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,11.0,11.0,9.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,14.0,11.0,11.0,12.0,11.0,11.0,11.0,14.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
layer_5,11.0,11.0,11.0,11.0,11.0,11.0,15.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,19.0,11.0,11.0,11.0,11.0,20.0,11.0,11.0,11.0,11.0,17.0,11.0,13.0,11.0,12.0,11.0,11.0,12.0,13.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0
layer_6,11.0,13.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,11.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,14.0,11.0,15.0,12.0,11.0,11.0,13.0,11.0,11.0,10.0,11.0,11.0,26.0,15.0,11.0,11.0,11.0,12.0,11.0,11.0,3.0,10.0,11.0,37.0,11.0,10.0,11.0,14.0,12.0,11.0,11.0,11.0,15.0,11.0,12.0
layer_7,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,11.0,9.0,13.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,12.0,37.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,8.0,15.0,11.0,9.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,9.0,11.0,11.0,11.0,11.0,12.0,11.0
layer_8,11.0,11.0,10.0,11.0,10.0,12.0,12.0,11.0,11.0,10.0,33.0,13.0,15.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,40.0,3.0,11.0,11.0,14.0,12.0,10.0,12.0,8.0,14.0,11.0,9.0,11.0,11.0,11.0,15.0,11.0,10.0,11.0,11.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,11.0,26.0,9.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,10.0
layer_9,12.0,12.0,13.0,11.0,11.0,11.0,42.0,11.0,11.0,11.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,14.0,11.0,11.0,11.0,11.0,12.0,11.0,9.0,12.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,0.0
