,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,158.0,21.0,75.0,1.0,124.0,196.0,22.0,15.0,22.0,331.0,178.0,131.0
layer_1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,17.0,3.0,0.0,65.0
layer_2,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
layer_3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_4,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
layer_5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_6,4.0,0.0,0.0,1.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
layer_7,3.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
layer_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
layer_9,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_10,0.0,0.0,0.0,0.0,7.0,1.0,0.0,11.0,20.0,0.0,0.0,0.0
layer_11,4.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
