,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,89.0,0.0,41.0,3.0,1.0,0.0,1.0,50.0,22.0,16.0,47.0,1.0
layer_1,24.0,23.0,1.0,10.0,0.0,17.0,5.0,15.0,0.0,73.0,0.0,0.0
layer_2,0.0,0.0,21.0,1.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,1.0
layer_3,2.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,21.0
layer_4,2.0,104.0,7.0,2.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,0.0
layer_5,54.0,0.0,0.0,81.0,29.0,20.0,0.0,111.0,27.0,37.0,1.0,0.0
layer_6,10.0,31.0,2.0,61.0,0.0,0.0,79.0,25.0,65.0,0.0,49.0,5.0
layer_7,0.0,26.0,92.0,19.0,1.0,9.0,20.0,17.0,74.0,0.0,146.0,173.0
layer_8,75.0,1.0,33.0,355.0,0.0,1.0,97.0,368.0,226.0,2.0,5.0,30.0
layer_9,15.0,7.0,45.0,79.0,16.0,0.0,104.0,14.0,54.0,24.0,0.0,23.0
layer_10,4.0,1.0,3.0,4.0,84.0,132.0,75.0,25.0,5.0,57.0,29.0,0.0
layer_11,28.0,27.0,0.0,5.0,101.0,114.0,3.0,8.0,14.0,74.0,45.0,102.0
