,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,42,0,85,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,62,53,0,22,1,53,0,2,0,0,0,0
layer_1,0,13,0,1,2,7,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_2,0,1,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,36,153
layer_3,0,0,11,0,0,12,0,0,0,0,44,0,1,4,0,11,2,12,0,0,0,0,1,0,20,0,9,0,21,1,0,2
layer_4,0,2,0,0,74,0,1,7,4,2,0,0,22,0,2,1,0,88,0,0,0,0,0,13,72,0,0,30,0,0,0,7
layer_5,0,0,86,14,0,0,0,0,0,0,0,0,3,18,1,5,54,4,29,0,36,0,1,0,0,38,0,0,1,111,1,2
layer_6,59,17,11,190,0,1,0,4,0,0,0,0,0,0,2,3,1,2,1,9,0,10,9,0,18,1,0,0,12,8,1,4
layer_7,75,3,6,0,12,0,0,2,0,0,0,0,0,0,1,10,138,100,0,1,0,0,0,0,0,1,0,0,0,0,0,84
layer_8,0,0,1,0,1,4,8,3,1,24,2,172,43,4,0,4,0,0,0,0,0,0,6,0,0,78,99,1,0,53,0,0
layer_9,0,0,0,11,56,47,5,60,0,0,0,9,0,64,39,7,0,0,0,2,34,0,0,3,0,0,17,0,1,3,116,3
layer_10,0,0,0,0,0,1,0,15,32,1,1,1,0,0,0,0,35,0,13,0,0,0,0,0,0,0,0,0,27,11,0,0
layer_11,1,0,0,0,0,0,0,0,5,32,0,6,0,0,0,0,23,12,0,2,0,0,0,1,0,0,0,1,9,4,14,9
layer_12,0,0,0,12,0,0,0,32,7,12,1,1,0,0,0,0,0,0,0,13,0,21,2,10,0,0,4,0,0,0,0,0
layer_13,0,0,0,0,24,0,0,0,2,2,0,2,0,0,0,4,0,0,15,0,0,0,0,0,23,0,10,3,0,0,25,0
layer_14,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,1,31,20,0,0,0,1,2,0,0,0,0,0,0,0
layer_15,8,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0
