,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,53.0,0.0,138.0,1.0,0.0,0.0,16.0,20.0,40.0,70.0,127.0,11.0
layer_1,63.0,54.0,0.0,1.0,0.0,12.0,0.0,29.0,0.0,163.0,0.0,0.0
layer_2,1.0,0.0,116.0,38.0,0.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0
layer_3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,9.0
layer_4,4.0,133.0,0.0,0.0,1.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0
layer_5,196.0,0.0,0.0,14.0,0.0,0.0,0.0,215.0,2.0,0.0,0.0,0.0
layer_6,0.0,50.0,76.0,149.0,0.0,0.0,0.0,7.0,51.0,0.0,2.0,0.0
layer_7,0.0,65.0,0.0,2.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0
layer_8,3.0,2.0,0.0,0.0,0.0,0.0,168.0,4.0,2.0,0.0,0.0,0.0
layer_9,10.0,0.0,7.0,182.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0
layer_10,2.0,0.0,0.0,0.0,1.0,158.0,0.0,1.0,0.0,184.0,2.0,0.0
layer_11,73.0,17.0,0.0,1.0,16.0,12.0,0.0,3.0,0.0,25.0,26.0,191.0
