,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,13.0,23.0,16.0,15.0,19.0,22.0,18.0,16.0,17.0,13.0,15.0,17.0,32.0,18.0,23.0,17.0
layer_1,16.0,24.0,35.0,34.0,19.0,27.0,28.0,22.0,25.0,34.0,33.0,24.0,23.0,10.0,23.0,31.0
layer_2,22.0,30.0,38.0,18.0,35.0,20.0,36.0,20.0,16.0,33.0,28.0,21.0,21.0,35.0,27.0,29.0
layer_3,26.0,32.0,27.0,19.0,26.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,24.0,27.0,26.0,26.0
layer_4,26.0,26.0,26.0,26.0,26.0,29.0,26.0,26.0,26.0,26.0,26.0,29.0,26.0,26.0,26.0,17.0
layer_5,26.0,26.0,24.0,26.0,26.0,26.0,27.0,26.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
layer_6,30.0,26.0,26.0,26.0,20.0,26.0,26.0,25.0,33.0,26.0,26.0,26.0,24.0,26.0,26.0,20.0
layer_7,26.0,24.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,29.0,29.0,26.0,27.0,26.0
layer_8,25.0,26.0,17.0,24.0,26.0,26.0,20.0,26.0,26.0,26.0,26.0,20.0,26.0,26.0,26.0,26.0
layer_9,26.0,26.0,28.0,26.0,22.0,26.0,26.0,27.0,26.0,25.0,18.0,26.0,26.0,27.0,26.0,21.0
layer_10,26.0,26.0,26.0,31.0,28.0,26.0,26.0,26.0,26.0,27.0,26.0,28.0,26.0,24.0,24.0,26.0
layer_11,26.0,26.0,27.0,20.0,16.0,27.0,23.0,19.0,26.0,24.0,22.0,16.0,26.0,27.0,28.0,28.0
layer_12,27.0,26.0,26.0,26.0,26.0,26.0,26.0,15.0,26.0,26.0,26.0,23.0,28.0,26.0,28.0,26.0
layer_13,26.0,24.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,22.0,25.0
layer_14,26.0,20.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,24.0,26.0,26.0,26.0,26.0
layer_15,26.0,26.0,26.0,26.0,24.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,32.0,26.0
layer_16,25.0,18.0,26.0,28.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0
layer_17,24.0,26.0,12.0,22.0,26.0,26.0,26.0,26.0,26.0,30.0,26.0,27.0,23.0,26.0,26.0,26.0
layer_18,12.0,26.0,26.0,26.0,19.0,26.0,27.0,26.0,24.0,26.0,26.0,25.0,26.0,26.0,20.0,26.0
layer_19,24.0,24.0,28.0,27.0,27.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,26.0
layer_20,25.0,26.0,23.0,27.0,26.0,26.0,26.0,26.0,23.0,26.0,18.0,29.0,25.0,24.0,25.0,20.0
layer_21,27.0,26.0,24.0,26.0,26.0,28.0,26.0,26.0,26.0,20.0,18.0,22.0,26.0,26.0,26.0,19.0
layer_22,26.0,19.0,22.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,30.0
layer_23,26.0,27.0,26.0,24.0,28.0,24.0,22.0,26.0,26.0,26.0,27.0,26.0,21.0,26.0,26.0,26.0
layer_24,26.0,26.0,21.0,26.0,26.0,24.0,24.0,24.0,26.0,26.0,25.0,26.0,26.0,27.0,24.0,23.0
layer_25,26.0,24.0,26.0,24.0,26.0,26.0,27.0,24.0,24.0,26.0,21.0,26.0,27.0,27.0,26.0,26.0
layer_26,26.0,27.0,25.0,26.0,26.0,26.0,24.0,26.0,27.0,24.0,25.0,26.0,27.0,26.0,28.0,23.0
layer_27,25.0,25.0,22.0,27.0,25.0,25.0,26.0,28.0,26.0,25.0,26.0,26.0,26.0,28.0,24.0,26.0
