,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_21,7,7,7,7,7,54,7,7,6,7,7,7,7,7,5,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,5,0,7,8,7,7,7,10,7,7,7,7,7,7,7,7,7,7,9,7,8,7,7,12,7,7,9,7,7,10,8,7
layer_22,7,7,7,7,8,7,14,0,7,7,7,6,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,6,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
layer_23,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,6,9,7,10,7,7,7,7,8,7,11,9,8,8,8,8,11,7,7,10,8,7,7,7,7,8,4,6,8,7,5,6,7,7,8,7,1,7,7,7,8,9,7,7,7,9,7,7,7,7,7,7,7,6,8,8
layer_24,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,0,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
layer_25,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
layer_26,7,7,7,7,8,7,7,7,7,7,11,7,7,7,12,7,7,7,7,7,8,8,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,6,7,7
layer_27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
layer_28,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,11,7,9,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7
layer_29,7,7,7,7,8,7,9,7,7,7,6,7,7,4,7,4,7,7,6,4,7,7,7,7,7,7,7,8,7,7,7,8,7,7,7,7,7,5,7,7,7,7,7,7,7,10,7,4,7,7,7,7,7,7,7,6,6,7,0,7,7,7,12,8,3,7,7,7,7,7,7
layer_30,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,10,7,7,7,7,8,7,8,7,7,8,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,5
layer_31,8,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
