,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,45.0,605.0,3.0,3.0,17.0,36.0,1.0,65.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,160.0,0.0,46.0,239.0,9.0,8.0,3.0,0.0,0.0
layer_1,3.0,0.0,0.0,43.0,4.0,28.0,0.0,0.0,2.0,1.0,24.0,0.0,1.0,3.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
layer_2,0.0,0.0,5.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
layer_3,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
layer_4,0.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
layer_6,0.0,0.0,0.0,0.0,1.0,4.0,48.0,3.0,25.0,11.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0
layer_7,25.0,77.0,0.0,0.0,0.0,0.0,3.0,23.0,18.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,21.0,0.0,2.0,9.0,9.0,3.0
layer_8,0.0,1.0,0.0,31.0,8.0,3.0,0.0,0.0,0.0,13.0,4.0,15.0,0.0,2.0,9.0,8.0,4.0,0.0,14.0,0.0,0.0,1.0,40.0,7.0
layer_9,9.0,39.0,10.0,0.0,0.0,0.0,10.0,35.0,73.0,0.0,3.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,3.0
layer_10,7.0,6.0,0.0,0.0,0.0,0.0,2.0,96.0,0.0,0.0,3.0,0.0,65.0,4.0,85.0,0.0,0.0,0.0,6.0,12.0,5.0,0.0,0.0,0.0
layer_11,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,4.0,11.0,0.0,3.0,5.0,24.0,45.0,0.0,10.0,0.0,28.0,12.0,3.0,13.0,15.0,38.0
layer_12,4.0,35.0,1.0,0.0,0.0,5.0,19.0,18.0,1.0,6.0,4.0,4.0,4.0,0.0,1.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,4.0,45.0
layer_13,2.0,1.0,6.0,0.0,2.0,3.0,561.0,2.0,16.0,23.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,6.0
layer_14,415.0,0.0,0.0,106.0,2.0,87.0,28.0,13.0,2.0,9.0,0.0,5.0,1.0,0.0,0.0,8.0,2.0,12.0,0.0,18.0,2.0,0.0,0.0,2.0
layer_15,2.0,2.0,4.0,16.0,5.0,0.0,1.0,0.0,44.0,0.0,17.0,3.0,0.0,0.0,6.0,3.0,0.0,15.0,0.0,0.0,0.0,3.0,1.0,1.0
layer_16,0.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,14.0,1.0,6.0,0.0,1.0
layer_17,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0
layer_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
layer_19,0.0,12.0,0.0,29.0,0.0,36.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
layer_20,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0
layer_21,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
layer_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0
layer_23,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,5.0,6.0,0.0,1.0,7.0,1.0,0.0,10.0
layer_24,0.0,3.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
layer_25,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,13.0
layer_26,0.0,3.0,23.0,1.0,2.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,9.0,18.0,20.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0
layer_27,10.0,0.0,0.0,0.0,25.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,32.0,1.0,0.0
