,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,0,0,0,4,0,0,0,0,0,0,206,0,0,0,0,0,105,0,85,67,0,0,0,0,0,0,102,0,0,18,27,238
layer_1,28,0,0,0,0,0,0,0,89,0,40,0,1,38,3,0,6,0,0,0,29,1,0,12,0,0,0,2,1,0,0,0
layer_2,0,0,0,0,5,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,24,28,0
layer_3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,10,21,3,0,5
layer_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
layer_5,1,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
layer_6,0,0,0,0,1,0,8,3,0,0,0,0,0,8,110,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
layer_7,2,0,0,0,0,1,2,2,0,0,1,9,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
layer_8,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,5,2,0,103
layer_9,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,10,1
layer_10,0,0,0,0,3,5,0,15,0,0,0,0,26,4,18,14,10,1,0,10,0,0,3,0,1,0,0,0,2,2,0,2
layer_11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,164,0,0,0,7,6,1,9,0,0,0,0,0,0,2
layer_12,66,7,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,1,1,2,5,3,0,0,0,0,27
layer_13,0,10,47,0,30,0,5,2,0,1,1,0,0,1,0,3,0,0,1,0,0,0,13,4,0,0,1,0,0,0,59,11
layer_14,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,9,2,0,0,0,8,0,1,3,0,0,3,4,0,0,0,0
layer_15,1,16,1,1,0,4,2,3,10,5,0,1,0,21,1,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,18
layer_16,13,0,0,0,0,3,2,3,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,6,6,0,0,0,0
layer_17,0,1,0,0,6,34,23,1,0,2,1,57,0,12,5,0,6,2,118,0,24,6,108,3,0,0,0,0,17,4,0,0
layer_18,0,0,0,0,49,18,0,22,0,0,74,1,1,11,9,3,1,5,0,1,0,0,0,0,3,1,2,0,0,0,0,1
layer_19,1,15,2,0,0,2,0,3,0,0,0,88,0,5,0,0,0,0,0,0,2,13,4,0,2,0,0,2,0,4,7,83
layer_20,0,0,0,12,93,10,0,144,0,0,0,2,102,0,0,2,3,0,1,1,0,6,0,0,1,0,0,3,4,0,0,0
layer_21,0,0,0,0,3,91,0,0,9,17,0,0,11,0,0,9,0,2,0,0,11,0,0,0,1,11,0,1,8,5,26,16
layer_22,0,0,0,0,0,2,0,0,0,3,0,0,2,1,2,0,0,0,6,0,23,0,0,1,12,0,0,0,0,0,4,12
layer_23,0,1,3,1,0,1,0,6,2,0,0,0,0,0,0,0,3,1,5,5,1,2,12,14,19,0,11,0,37,0,0,3
layer_24,15,34,3,26,4,1,0,3,55,3,11,0,0,1,2,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1
layer_25,0,0,0,0,0,0,0,2,0,9,1,0,5,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
layer_26,0,4,0,1,0,0,0,0,21,0,15,6,0,4,1,1,0,0,0,0,2,18,4,0,0,0,41,2,0,1,0,11
layer_27,1,14,0,3,0,2,4,16,0,1,6,7,1,8,2,4,3,0,0,0,2,0,0,3,4,2,0,2,3,0,0,0
layer_28,0,0,0,0,17,3,18,0,8,1,7,11,1,8,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,5,53,0
layer_29,0,0,2,1,40,9,20,3,0,0,1,0,7,0,2,0,2,8,0,4,2,0,0,1,0,7,0,10,28,0,0,0
layer_30,1,1,0,0,0,0,0,0,0,0,1,0,32,8,3,0,5,1,6,0,0,0,8,19,0,0,0,0,0,3,1,1
layer_31,4,214,1,11,1,0,0,0,1,0,1,1,0,6,3,7,0,0,0,0,0,0,9,1,27,17,12,7,0,0,0,0
