,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,29,4,76,2,0,0,1,1,0,0,0,8,1,0,0,0,1,6,0,0,23,14,0,24,27,10,0,0,0,0,0,0
layer_1,1,1,0,0,2,2,1,0,0,0,0,3,0,0,0,0,1,0,14,0,1,0,0,0,21,0,0,1,0,0,3,0
layer_2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
layer_3,0,0,0,0,1,5,0,4,0,0,0,2,0,0,4,2,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1
layer_4,0,0,0,0,2,0,0,4,4,0,0,0,3,13,2,2,0,3,0,0,0,0,0,10,3,1,0,0,0,0,0,0
layer_5,0,0,0,1,1,0,0,0,0,0,0,0,7,32,12,5,1,1,1,0,4,0,2,0,0,0,0,1,1,0,1,1
layer_6,53,8,9,25,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,5,0,3,0,0,0,0,9,0,5
layer_7,2,4,0,0,22,0,2,0,0,0,0,1,0,0,1,1,19,1,0,0,0,0,0,1,1,1,1,2,0,0,0,11
layer_8,0,1,0,0,0,0,0,0,10,6,0,20,4,16,4,0,0,0,0,0,0,0,1,0,0,2,67,0,0,16,0,0
layer_9,7,0,0,0,6,8,0,0,0,0,0,5,0,18,10,18,1,0,2,3,1,0,0,9,0,0,47,0,28,11,1,17
layer_10,6,2,0,19,0,3,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
layer_11,0,0,0,0,1,0,0,0,1,11,0,5,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1
layer_12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5,0
layer_13,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
layer_14,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0
layer_15,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0
