,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,4,49,0,0,65,43,78,59,0,103,0,3
layer_1,3,8,1,4,0,58,51,0,0,0,54,0
layer_2,1,0,8,72,0,0,20,0,0,0,8,0
layer_3,12,0,1,43,0,0,0,1,0,46,21,1
layer_4,0,4,0,0,7,4,0,50,0,59,2,98
layer_5,9,1,1,91,1,33,0,0,0,3,0,6
layer_6,95,0,18,0,2,1,52,1,0,0,25,1
layer_7,59,35,14,51,76,23,4,15,62,52,8,0
layer_8,15,66,5,80,7,7,8,10,39,25,19,87
layer_9,15,8,2,31,35,10,8,47,20,10,53,23
layer_10,1,0,12,31,13,15,12,59,12,7,3,4
layer_11,2,0,3,0,0,51,1,5,0,3,0,10
