,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,888.0,29.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,535.0,0.0,0.0,0.0,31.0,0.0,17.0,0.0,0.0,0.0,79.0,0.0,168.0,65.0,166.0,18.0,105.0,0.0,0.0,0.0,0.0
layer_1,12.0,4.0,0.0,1.0,7.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,2.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,29.0,0.0,8.0,0.0
layer_2,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
layer_3,0.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,22.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,9.0,5.0
layer_4,0.0,0.0,0.0,0.0,14.0,0.0,13.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
layer_5,0.0,0.0,1.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,0.0,4.0,3.0,73.0,12.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,2.0
layer_6,0.0,7.0,0.0,0.0,3.0,0.0,2.0,10.0,21.0,10.0,59.0,45.0,6.0,77.0,0.0,8.0,73.0,0.0,3.0,2.0,73.0,0.0,11.0,0.0,0.0,52.0,0.0,0.0,2.0,65.0,15.0,0.0
layer_7,0.0,9.0,775.0,0.0,3.0,2.0,0.0,1.0,17.0,193.0,189.0,280.0,13.0,1.0,0.0,1.0,11.0,116.0,8.0,52.0,1.0,1.0,0.0,1.0,12.0,0.0,0.0,21.0,19.0,7.0,3.0,6.0
layer_8,0.0,1.0,0.0,0.0,11.0,11.0,1.0,0.0,12.0,1.0,0.0,5.0,14.0,10.0,6.0,27.0,6.0,8.0,11.0,28.0,0.0,6.0,117.0,0.0,2.0,0.0,0.0,0.0,2.0,31.0,6.0,284.0
layer_9,7.0,110.0,46.0,17.0,0.0,0.0,0.0,0.0,85.0,903.0,111.0,377.0,0.0,1.0,1.0,3.0,18.0,11.0,2.0,90.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,2.0,3.0
layer_10,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,1.0,0.0,0.0,2.0,6.0,5.0,293.0,3.0,89.0,124.0,136.0,13.0,88.0,17.0,21.0,7.0,53.0,8.0,0.0,2.0,143.0,0.0
layer_11,35.0,17.0,15.0,0.0,27.0,1.0,2.0,0.0,11.0,19.0,7.0,2.0,0.0,0.0,9.0,16.0,621.0,331.0,5.0,357.0,0.0,1.0,0.0,1.0,9.0,18.0,43.0,8.0,0.0,0.0,0.0,123.0
layer_12,102.0,0.0,1.0,10.0,5.0,3.0,2.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,261.0,29.0,69.0,298.0,96.0,0.0,0.0,0.0,80.0,192.0,43.0,127.0,9.0,34.0,3.0,9.0,11.0
layer_13,10.0,34.0,76.0,45.0,0.0,0.0,0.0,0.0,108.0,27.0,7.0,62.0,6.0,2.0,2.0,3.0,8.0,1.0,14.0,4.0,2.0,2.0,91.0,1.0,286.0,0.0,0.0,0.0,0.0,75.0,2.0,77.0
layer_14,5.0,3.0,4.0,6.0,1.0,11.0,11.0,5.0,623.0,91.0,81.0,275.0,30.0,72.0,5.0,3.0,0.0,2.0,2.0,9.0,0.0,0.0,2.0,1.0,5.0,6.0,614.0,0.0,0.0,3.0,0.0,3.0
layer_15,421.0,0.0,0.0,1.0,207.0,412.0,200.0,325.0,126.0,6.0,4.0,74.0,122.0,2.0,68.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,49.0,0.0,5.0,56.0,22.0,1.0,1.0,5.0,2.0
layer_16,0.0,2.0,1.0,2.0,34.0,0.0,0.0,1.0,16.0,17.0,11.0,42.0,18.0,9.0,61.0,1.0,0.0,29.0,40.0,2.0,1.0,1.0,300.0,1.0,7.0,55.0,1.0,29.0,6.0,154.0,0.0,96.0
layer_17,8.0,0.0,2.0,51.0,202.0,28.0,0.0,12.0,0.0,0.0,0.0,84.0,1.0,53.0,3.0,17.0,0.0,0.0,3.0,20.0,10.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,18.0,1.0
layer_18,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,77.0,0.0,0.0,1.0,10.0,5.0,48.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,86.0,34.0,1.0,2.0,3.0,2.0,0.0
layer_19,2.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,50.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,2.0,0.0,19.0,5.0,0.0,0.0,1.0,0.0
layer_20,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,59.0,0.0,0.0
layer_21,166.0,1.0,25.0,0.0,214.0,5.0,2.0,4.0,0.0,61.0,102.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
layer_22,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,71.0,1.0,1.0,0.0,1.0,1.0,8.0,4.0,1.0,12.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
layer_23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,2.0
layer_24,0.0,19.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,3.0
layer_25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,123.0,0.0,1.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
layer_26,1.0,0.0,0.0,16.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,64.0,0.0,87.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0
layer_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,5.0,0.0,3.0,0.0,111.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.0
layer_28,7.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,104.0,0.0,0.0,6.0,0.0,0.0,22.0,0.0,1.0,17.0,137.0,4.0
layer_29,0.0,8.0,11.0,0.0,1.0,0.0,0.0,0.0,67.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24.0,0.0,0.0,6.0,25.0
layer_30,0.0,42.0,21.0,0.0,0.0,0.0,34.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,293.0,7.0,2.0,0.0,5.0,16.0,25.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0
layer_31,42.0,5.0,0.0,3.0,0.0,0.0,51.0,116.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,300.0,0.0,104.0,0.0,0.0,0.0
