,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,2,1,4,17,2,7,1,0,11,6,12,14,10,0,10,0
layer_1,4,6,5,6,4,7,2,8,1,1,5,2,3,28,2,5
layer_2,4,2,0,10,15,0,5,4,0,4,21,2,4,0,6,6
layer_3,3,3,3,9,3,5,4,3,3,3,3,3,3,3,3,2
layer_4,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3
layer_5,16,3,16,3,3,2,3,3,3,3,3,3,3,3,3,4
layer_6,1,8,3,3,3,3,3,3,3,3,3,3,2,3,3,3
layer_7,3,6,3,2,3,3,3,2,3,3,3,5,4,7,3,3
layer_8,3,3,2,3,3,3,3,3,3,4,3,3,3,3,2,3
layer_9,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
layer_10,3,3,3,3,1,2,3,3,3,3,3,2,4,3,3,4
layer_11,3,3,3,3,6,3,1,3,3,3,0,5,3,3,9,3
layer_12,3,3,3,3,3,3,3,12,3,3,3,3,3,4,5,3
layer_13,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3
layer_14,3,1,3,3,3,3,3,3,6,6,3,3,3,3,3,3
layer_15,3,3,3,0,3,3,3,3,2,3,3,3,3,3,3,3
layer_16,3,3,4,3,3,3,3,3,2,3,2,3,3,3,3,3
layer_17,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_18,2,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3
layer_19,3,3,2,3,6,3,3,3,3,3,2,3,3,3,3,3
layer_20,3,3,3,4,3,3,3,3,3,3,3,7,3,3,6,3
layer_21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_22,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
layer_23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_24,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
layer_25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_26,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
layer_27,3,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3
