,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,9,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,10,0,0,0,0,0,0,0,0
layer_1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
layer_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
layer_3,0,0,2,0,0,2,0,0,0,0,77,1,0,0,0,1,1,11,0,0,0,0,0,0,1,0,1,0,3,0,0,2
layer_4,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,3,0,0,0,0,0,0,17,0,0,1,0,0,0,4
layer_5,0,0,13,2,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,3,0,0,0,0,0,0,0,4,11,1,0
layer_6,19,0,4,24,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,4,0,0,1,0,1,1,0,0,2,4,0,0
layer_7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,9,0,1,0,0,0,0,0,0,0,0,0,0,0,8
layer_8,0,0,1,0,0,0,0,0,1,7,0,17,8,1,1,1,0,0,0,0,0,0,5,0,0,13,78,0,0,5,0,0
layer_9,0,0,0,3,17,13,0,11,0,0,0,2,0,11,9,1,0,0,0,0,6,0,0,0,0,0,0,0,14,0,17,2
layer_10,0,0,0,0,0,0,0,1,16,2,1,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0
layer_11,0,0,0,0,0,0,0,0,1,14,0,12,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,5,3
layer_12,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,3,0,8,0,0,2,1,0,0,0,0
layer_13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,3,2,1,0,13,0
layer_14,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0
layer_15,9,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0
