,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,5.0,12.0,48.0,111.0,14.0,25.0,5.0,14.0,77.0,5.0,104.0,43.0
layer_1,2.0,61.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,0.0,1.0,0.0
layer_2,106.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,106.0,0.0,3.0
layer_3,0.0,0.0,0.0,77.0,0.0,94.0,0.0,0.0,0.0,24.0,2.0,24.0
layer_4,0.0,3.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,15.0
layer_5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,24.0,0.0
layer_6,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,85.0,0.0,106.0
layer_7,0.0,0.0,42.0,0.0,107.0,7.0,0.0,0.0,0.0,15.0,74.0,3.0
layer_8,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,24.0,0.0,0.0
layer_9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0
layer_10,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
layer_11,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,6.0,19.0,1.0,0.0
