,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,82.0,0.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,151.0,53.0,0.0,47.0,1.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0
layer_1,0.0,63.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,20.0,183.0
layer_3,0.0,0.0,10.0,5.0,0.0,9.0,0.0,0.0,5.0,0.0,276.0,1.0,1.0,10.0,1.0,11.0,3.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,4.0,0.0,27.0,2.0,2.0,7.0
layer_4,0.0,1.0,0.0,0.0,66.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,31.0,1.0,1.0,3.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,22.0,97.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0
layer_5,0.0,0.0,91.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,2.0,2.0,85.0,5.0,54.0,0.0,25.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,2.0,84.0,1.0,2.0
layer_6,111.0,31.0,8.0,322.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,31.0,8.0,9.0,0.0,23.0,14.0,0.0,12.0,0.0,0.0,0.0,45.0,21.0,4.0,10.0
layer_7,83.0,1.0,7.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,163.0,171.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,68.0
layer_8,2.0,0.0,0.0,1.0,0.0,3.0,10.0,5.0,1.0,22.0,1.0,221.0,66.0,15.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,175.0,179.0,0.0,0.0,61.0,0.0,0.0
layer_9,0.0,0.0,0.0,20.0,83.0,65.0,5.0,77.0,0.0,0.0,0.0,19.0,0.0,132.0,50.0,5.0,0.0,0.0,0.0,3.0,28.0,1.0,0.0,18.0,0.0,0.0,32.0,0.0,10.0,4.0,119.0,14.0
layer_10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,36.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,1.0
layer_11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,0.0,21.0,0.0,0.0,0.0,0.0,19.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,7.0,23.0,2.0
layer_12,0.0,0.0,0.0,29.0,0.0,0.0,0.0,103.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,10.0,0.0,21.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
layer_13,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,4.0,1.0,0.0,27.0,1.0
layer_14,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,26.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_15,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
