,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,18,0,545,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,8,7,0,4,2,154,0,0,0,0,0,0
layer_1,4,299,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
layer_2,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,136
layer_3,0,0,1,0,0,241,0,0,0,0,22,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,2,0,5,0,0,0
layer_4,0,1,0,0,3,0,0,1,0,0,0,0,14,0,0,0,0,219,0,0,0,0,0,0,89,0,0,0,0,0,0,6
layer_5,0,0,87,9,0,0,0,0,0,0,0,0,1,54,8,0,17,0,16,0,73,0,0,0,0,60,0,0,0,40,0,0
layer_6,172,0,1,755,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,1,10,0,3,0,0,0,0,0,0,1
layer_7,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,174,10,0,0,0,0,0,0,0,0,0,0,0,0,0,107
layer_8,0,0,0,0,0,0,0,0,2,4,0,151,7,0,0,0,0,0,0,0,0,0,0,0,0,214,516,0,0,7,0,0
layer_9,0,0,1,1,36,9,0,12,0,0,0,254,0,26,11,1,0,0,0,1,21,0,0,0,0,0,6,0,54,0,80,0
layer_10,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0
layer_11,0,0,0,0,0,0,0,0,0,95,0,28,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,7,3
layer_12,0,0,0,0,0,0,0,41,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
layer_13,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
layer_14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0
layer_15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
