,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,121,2,111,0,1,0,0,2,0,0,3,3,0,0,0,0,51,4,0,0,26,7,0,154,1,4,2,0,7,0,0,0
layer_1,1,0,0,30,2,0,0,0,70,0,0,73,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
layer_2,0,0,0,0,0,0,0,0,0,1,0,1,178,0,0,0,5,0,0,0,0,0,2,1,55,4,8,23,0,1,8,1
layer_3,1,0,67,25,0,2,0,7,0,0,1,5,0,0,1,62,13,1,0,0,0,3,3,0,25,0,2,0,225,28,110,59
layer_4,0,0,3,0,104,0,0,144,0,7,0,0,17,19,73,8,0,6,14,0,0,0,0,32,160,103,0,43,0,0,0,81
layer_5,0,0,14,7,2,0,0,0,5,0,2,0,35,25,96,115,25,12,0,0,3,0,1,0,1,9,0,9,0,42,18,97
layer_6,84,6,11,23,4,2,49,3,0,0,0,0,0,0,8,74,0,21,0,65,37,3,132,5,91,36,0,0,4,62,4,73
layer_7,5,30,1,0,137,2,1,0,38,0,0,0,0,0,2,2,43,3,0,5,0,76,0,2,0,2,3,0,0,0,0,105
layer_8,4,5,14,4,9,13,4,39,50,90,3,22,27,103,10,6,0,1,0,0,0,0,62,38,2,75,92,3,0,132,0,4
layer_9,22,0,5,9,71,78,19,6,3,0,0,43,1,36,113,62,17,0,37,15,18,0,0,37,0,1,85,0,31,27,10,44
layer_10,0,1,0,4,0,48,0,4,29,15,8,3,24,1,0,4,3,0,58,0,0,22,0,3,5,6,0,2,4,9,4,8
layer_11,2,0,0,2,5,4,1,1,1,8,0,12,0,0,3,0,2,24,0,5,0,2,7,9,4,3,0,3,14,0,3,5
layer_12,0,1,3,21,0,0,0,75,15,7,8,0,0,3,1,1,0,8,2,4,1,16,0,5,0,0,7,10,2,2,0,0
layer_13,0,0,0,1,109,2,0,0,3,13,1,7,0,4,3,1,0,0,18,0,0,0,0,1,0,0,0,0,3,0,5,2
layer_14,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,3,2,3,0,0,0,2,2,1,2,4,0,0,0,0
layer_15,6,5,1,1,0,0,5,1,11,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,8,1,4,0,0,0,0,0
